[14/9/2016 10:2:7] /a 10
[14/9/2016 10:2:23] /t
[14/9/2016 10:2:30] /ghost
[14/9/2016 10:2:32] /ghost
[14/9/2016 10:4:23] /goto Dead Space
[14/9/2016 10:4:28] /t
[14/9/2016 10:13:33] /ghost
[14/9/2016 10:15:22] /newtype 111
[14/9/2016 10:15:31] /newtype 112
[14/9/2016 10:15:37] /newtype 113
[14/9/2016 10:15:42] /newtype 109
[14/9/2016 10:16:9] /newtype 1
[14/9/2016 10:16:11] /newtype 2
[14/9/2016 10:16:13] /newtype 3
[14/9/2016 10:16:14] /newtype 4
[14/9/2016 10:16:15] /newtype 5
[14/9/2016 10:16:17] /newtype 6
[14/9/2016 10:16:20] /newtype 7
[14/9/2016 10:16:21] /newtype 8
[14/9/2016 10:16:24] /newtype 10
[14/9/2016 10:16:26] /newtype 11
[14/9/2016 10:16:28] /newtype 12
[14/9/2016 10:16:30] /newtype 13
[14/9/2016 10:16:32] /newtype 19
[14/9/2016 10:16:37] /newtype 40
[14/9/2016 10:16:42] /newtype 41
[14/9/2016 10:16:50] /newtype 43
[14/9/2016 10:22:31] /ghost
[14/9/2016 10:22:53] /a 2
[14/9/2016 10:22:55] /a 3
[14/9/2016 10:24:57] /b Duvidas no HELP =)
[14/9/2016 10:28:46] /b Site Provisorio, > http://ntoabs.wixsite.com/ntoabs <
[14/9/2016 10:31:19] /b Convide 5 amigos e ganhe um Brinde especial... 
[14/9/2016 10:34:46] /newtype 50
[14/9/2016 10:34:48] /newtype 51
[14/9/2016 10:34:49] /newtype 52
[14/9/2016 10:34:50] /newtype 53
[14/9/2016 10:34:52] /newtype 54
[14/9/2016 10:34:53] /newtype 55
[14/9/2016 10:34:55] /newtype 56
[14/9/2016 10:34:57] /newtype 57
[14/9/2016 10:35:0] /newtype 58
[14/9/2016 10:35:2] /newtype 59
[14/9/2016 10:35:3] /newtype 50
[14/9/2016 10:35:8] /newtype 110
[14/9/2016 10:35:11] /newtype 111
[14/9/2016 10:36:12] /newtype 300
[14/9/2016 10:36:13] /newtype 303
[14/9/2016 10:36:15] /newtype 22
[14/9/2016 10:36:17] /newtype 222
[14/9/2016 10:36:19] /newtype 21
[14/9/2016 10:36:21] /newtype 223
[14/9/2016 10:36:23] /newtype 211
[14/9/2016 10:36:26] /newtype 189
[14/9/2016 10:36:29] /newtype 182
[14/9/2016 10:36:31] /newtype 134
[14/9/2016 10:36:33] /newtype 133
[14/9/2016 10:36:34] /newtype 132
[14/9/2016 10:36:37] /newtype 131
[14/9/2016 10:36:39] /newtype 130
[14/9/2016 10:36:41] /newtype 129
[14/9/2016 10:36:43] /newtype 123
[14/9/2016 10:36:45] /newtype 124
[14/9/2016 10:36:46] /newtype 125
[14/9/2016 10:36:47] /newtype 12
[14/9/2016 10:36:50] /newtype 126
[14/9/2016 10:36:52] /newtype 177
[14/9/2016 10:36:56] /newtype 123
[14/9/2016 10:36:58] /newtype 142
[14/9/2016 10:37:30] /b Duvidas no HELP ;D
[14/9/2016 10:40:44] /a 10
[14/9/2016 10:40:45] /a 10
[14/9/2016 10:40:45] /a 10
[14/9/2016 10:40:46] /a 10
[14/9/2016 10:40:46] /a 10
[14/9/2016 10:40:47] /a 10
[14/9/2016 10:40:48] /a 10
[14/9/2016 10:40:48] /a 10
[14/9/2016 10:40:50] /a 10
[14/9/2016 10:40:51] /a 10
[14/9/2016 10:40:51] /a 10
[14/9/2016 10:40:53] /a 10
[14/9/2016 10:40:53] /a 10
[14/9/2016 10:40:54] /a 10
[14/9/2016 10:40:54] /a 10
[14/9/2016 10:40:55] /a 10
[14/9/2016 10:40:56] /a 10
[14/9/2016 10:40:57] /a 10
[14/9/2016 10:40:57] /a 10
[14/9/2016 10:40:59] /a 10
[14/9/2016 10:40:59] /a 10
[14/9/2016 10:41:0] /a 10
[14/9/2016 10:41:0] /a 10
[14/9/2016 10:41:1] /a 10
[14/9/2016 10:41:2] /a 10
[14/9/2016 10:41:4] /a 10
[14/9/2016 10:42:8] /m madara
[14/9/2016 10:42:19] /goto Isaac Newton
[14/9/2016 10:42:29] /goto Isaac Newton
[14/9/2016 10:42:39] /goto Isaac Newton
[14/9/2016 10:42:41] /goto Isaac Newton
[14/9/2016 10:42:42] /goto Isaac Newton
[14/9/2016 10:42:44] /goto Isaac Newton
[14/9/2016 10:42:46] /goto Isaac Newton
[14/9/2016 10:42:53] /goto Isaac Newton
[14/9/2016 10:43:1] /goto Isaac Newton
[14/9/2016 10:43:1] /ghost
[14/9/2016 10:43:6] /ghost
[14/9/2016 10:43:7] /goto Isaac Newton
[14/9/2016 10:43:9] /goto Isaac Newton
[14/9/2016 10:43:10] /goto Isaac Newton
[14/9/2016 10:43:11] /goto Isaac Newton
[14/9/2016 10:43:12] /goto Isaac Newton
[14/9/2016 10:43:13] /goto Isaac Newton
[14/9/2016 10:43:14] /goto Isaac Newton
[14/9/2016 10:43:15] /goto Isaac Newton
[14/9/2016 10:43:16] /goto Isaac Newton
[14/9/2016 10:43:17] /goto Isaac Newton
[14/9/2016 10:43:18] /goto Isaac Newton
[14/9/2016 10:43:19] /goto Isaac Newton
[14/9/2016 10:43:19] /goto Isaac Newton
[14/9/2016 10:43:20] /goto Isaac Newton
[14/9/2016 10:43:20] /goto Isaac Newton
[14/9/2016 10:43:21] /goto Isaac Newton
[14/9/2016 10:43:26] /goto Isaac Newton
[14/9/2016 10:43:32] /m Shinobi Of The Blades
[14/9/2016 10:43:36] /goto Isaac Newton
[14/9/2016 10:43:37] /goto Isaac Newton
[14/9/2016 10:43:39] /goto Isaac Newton
[14/9/2016 10:43:40] /goto Isaac Newton
[14/9/2016 10:43:41] /goto Isaac Newton
[14/9/2016 10:43:41] /goto Isaac Newton
[14/9/2016 10:43:43] /goto Isaac Newton
[14/9/2016 10:43:44] /goto Isaac Newton
[14/9/2016 10:43:45] /goto Isaac Newton
[14/9/2016 10:43:45] /goto Isaac Newton
[14/9/2016 10:43:46] /goto Isaac Newton
[14/9/2016 10:43:49] /goto Isaac Newton
[14/9/2016 10:46:44] /goto Isaac Newton
[14/9/2016 10:46:58] /goto Isaac Newton
[14/9/2016 10:47:2] /ghost
[14/9/2016 10:47:42] /goto Mordecai
[14/9/2016 10:48:20] /t
[14/9/2016 10:58:49] /goto madara
[14/9/2016 11:4:54] /ghost
[14/9/2016 11:8:56] /ghost
[14/9/2016 11:8:58] /ghost
[14/9/2016 11:9:7] /ghost
[14/9/2016 11:9:8] /ghost
[14/9/2016 11:9:12] /goto mordecai
[14/9/2016 11:9:18] /ghost
[14/9/2016 11:10:48] /up
[14/9/2016 11:13:38] /t
[14/9/2016 11:18:44] /newtype 241
[14/9/2016 11:18:45] /newtype 242
[14/9/2016 11:18:46] /newtype 243
[14/9/2016 11:18:47] /newtype 244
[14/9/2016 11:18:48] /newtype 245
[14/9/2016 11:18:49] /newtype 246
[14/9/2016 11:18:50] /newtype 247
[14/9/2016 11:18:51] /newtype 248
[14/9/2016 11:18:53] /newtype 249
[14/9/2016 11:18:56] /newtype 251
[14/9/2016 11:18:57] /newtype 252
[14/9/2016 11:18:58] /newtype 253
[14/9/2016 11:18:59] /newtype 254
[14/9/2016 11:19:0] /newtype 255
[14/9/2016 11:19:1] /newtype 256
[14/9/2016 11:19:2] /newtype 257
[14/9/2016 11:19:3] /newtype 258
[14/9/2016 11:19:4] /newtype 259
[14/9/2016 11:19:6] /newtype 250
[14/9/2016 11:19:9] /newtype 231
[14/9/2016 11:19:10] /newtype 232
[14/9/2016 11:19:11] /newtype 233
[14/9/2016 11:19:12] /newtype 234
[14/9/2016 11:19:14] /newtype 236
[14/9/2016 11:19:20] /newtype 261
[14/9/2016 11:19:21] /newtype 262
[14/9/2016 11:19:22] /newtype 263
[14/9/2016 11:19:22] /newtype 264
[14/9/2016 11:19:23] /newtype 265
[14/9/2016 11:19:24] /newtype 266
[14/9/2016 11:19:25] /newtype 267
[14/9/2016 11:19:27] /newtype 269
[14/9/2016 11:19:29] /newtype 260
[14/9/2016 11:20:16] /newtype 30
[14/9/2016 11:21:1] /newtype 139
[14/9/2016 11:21:13] /newtype 142
[14/9/2016 11:21:23] /newtype 145
[14/9/2016 11:21:27] /newtype 142
[14/9/2016 11:30:27] /ghost
[14/9/2016 11:32:36] /b itens iniciais no templo com dead space, ele vai ajuda voces
[14/9/2016 12:16:23] /ghost
[14/9/2016 12:17:15] /ghost
[14/9/2016 12:18:45] /goto tiu tu
[14/9/2016 12:18:50] /goto tiu tu
[14/9/2016 12:18:55] /goto tiu lu
[14/9/2016 12:19:3] /ghost
[14/9/2016 12:19:9] /newtype 142
[14/9/2016 12:19:28] /t tiu lu
[14/9/2016 12:19:37] /t
[14/9/2016 12:41:3] /goto Viper
[14/9/2016 12:47:46] /r
[14/9/2016 12:50:6] /t
[14/9/2016 13:8:43] /ghost
[14/9/2016 13:10:5] /ghost
[14/9/2016 13:10:8] /ghost
[14/9/2016 13:58:13] /goto Dead Sakura
[14/9/2016 13:58:19] /r
[14/9/2016 13:58:40] /goto Tiu Lu
[14/9/2016 13:59:4] /t
[14/9/2016 13:59:28] /goto Tiu Lu
[14/9/2016 13:59:42] /t
[14/9/2016 14:0:12] /goto Tiu Lu
[14/9/2016 14:0:27] /goto Dead Sakura
[14/9/2016 14:0:37] /goto Dead Sakura
[14/9/2016 14:0:38] /goto Dead Sakura
[14/9/2016 14:0:40] /goto Dead Sakura
[14/9/2016 14:0:42] /goto Dead Sakura
[14/9/2016 14:0:44] /goto Dead Sakura
[14/9/2016 14:0:45] /goto Dead Sakura
[14/9/2016 14:0:45] /goto Dead Sakura
[14/9/2016 14:0:46] /goto Dead Sakura
[14/9/2016 14:0:47] /goto Dead Sakura
[14/9/2016 14:0:48] /goto Dead Sakura
[14/9/2016 14:0:48] /goto Dead Sakura
[14/9/2016 14:0:49] /goto Dead Sakura
[14/9/2016 14:0:49] /goto Dead Sakura
[14/9/2016 14:0:50] /goto Dead Sakura
[14/9/2016 14:0:51] /goto Dead Sakura
[14/9/2016 14:0:52] /goto Dead Sakura
[14/9/2016 14:0:52] /goto Dead Sakura
[14/9/2016 14:0:53] /goto Dead Sakura
[14/9/2016 14:0:53] /goto Dead Sakura
[14/9/2016 14:0:54] /goto Dead Sakura
[14/9/2016 14:0:54] /goto Dead Sakura
[14/9/2016 14:0:55] /goto Dead Sakura
[14/9/2016 14:0:56] /goto Dead Sakura
[14/9/2016 14:0:57] /goto Dead Sakura
[14/9/2016 14:0:58] /goto Dead Sakura
[14/9/2016 14:0:58] /goto Dead Sakura
[14/9/2016 14:0:59] /goto Dead Sakura
[14/9/2016 14:1:0] /goto Dead Sakura
[14/9/2016 14:1:0] /goto Dead Sakura
[14/9/2016 14:1:2] /goto Dead Sakura
[14/9/2016 14:1:3] /goto Dead Sakura
[14/9/2016 14:1:3] /goto Dead Sakura
[14/9/2016 14:1:4] /goto Dead Sakura
[14/9/2016 14:1:4] /goto Dead Sakura
[14/9/2016 14:1:5] /goto Dead Sakura
[14/9/2016 14:1:5] /goto Dead Sakura
[14/9/2016 14:1:6] /goto Dead Sakura
[14/9/2016 14:1:6] /goto Dead Sakura
[14/9/2016 14:1:7] /goto Dead Sakura
[14/9/2016 14:1:7] /goto Dead Sakura
[14/9/2016 14:1:8] /goto Dead Sakura
[14/9/2016 14:1:8] /goto Dead Sakura
[14/9/2016 14:1:8] /goto Dead Sakura
[14/9/2016 14:1:9] /goto Dead Sakura
[14/9/2016 14:1:9] /goto Dead Sakura
[14/9/2016 14:1:10] /goto Dead Sakura
[14/9/2016 14:1:10] /goto Dead Sakura
[14/9/2016 14:1:11] /goto Dead Sakura
[14/9/2016 14:1:11] /goto Dead Sakura
[14/9/2016 14:1:12] /goto Dead Sakura
[14/9/2016 14:1:12] /goto Dead Sakura
[14/9/2016 14:1:13] /goto Dead Sakura
[14/9/2016 14:1:14] /goto Dead Sakura
[14/9/2016 14:1:16] /goto Dead Sakura
[14/9/2016 14:1:18] /goto Dead Sakura
[14/9/2016 14:7:23] /a 100
[14/9/2016 14:7:26] /a 100
[14/9/2016 14:7:31] /a 20
[14/9/2016 14:7:32] /a 20
[14/9/2016 14:7:32] /a 20
[14/9/2016 14:7:33] /a 20
[14/9/2016 14:7:35] /a 20
[14/9/2016 14:7:36] /a 20
[14/9/2016 14:9:49] /goto Dead Sakura
[14/9/2016 14:9:50] /goto Dead Sakura
[14/9/2016 14:9:51] /goto Dead Sakura
[14/9/2016 14:9:51] /goto Dead Sakura
[14/9/2016 14:9:52] /goto Dead Sakura
[14/9/2016 14:9:52] /goto Dead Sakura
[14/9/2016 14:13:4] /goto Dead Sakura
[14/9/2016 14:27:59] /t
[14/9/2016 14:28:10] /goto Tiu Lu
[14/9/2016 14:28:12] /r
[14/9/2016 14:28:18] /t Tiu Lu
[14/9/2016 14:28:22] /t
[14/9/2016 14:42:6] /b DUVIDAS NO HELP ;D
[14/9/2016 14:43:2] /b DUVIDAS NO HELP ;D
[14/9/2016 14:43:14] /b DUVIDAS NO HELP ;D
[14/9/2016 14:50:21] /b Web Site Oficial > http://ntoabs.wixsite.com/ntoabs <
[14/9/2016 14:51:23] /b Duvidas no Help
[14/9/2016 14:51:39] /t Tiu Lu
[14/9/2016 14:52:38] /goto Dead Sakura
[14/9/2016 14:54:41] /goto Dead Sakura
[14/9/2016 14:54:43] /goto Dead Sakura
[14/9/2016 14:54:44] /goto Dead Sakura
[14/9/2016 14:54:45] /goto Dead Sakura
[14/9/2016 14:54:46] /goto Dead Sakura
[14/9/2016 14:54:46] /goto Dead Sakura
[14/9/2016 14:54:47] /goto Dead Sakura
[14/9/2016 14:54:48] /goto Dead Sakura
[14/9/2016 14:54:48] /goto Dead Sakura
[14/9/2016 14:54:49] /goto Dead Sakura
[14/9/2016 14:54:50] /goto Dead Sakura
[14/9/2016 14:54:51] /goto Dead Sakura
[14/9/2016 14:54:52] /goto Dead Sakura
[14/9/2016 14:54:53] /goto Dead Sakura
[14/9/2016 14:54:54] /goto Dead Sakura
[14/9/2016 14:54:57] /goto Dead Sakura
[14/9/2016 14:54:58] /goto Dead Sakura
[14/9/2016 14:54:59] /goto Dead Sakura
[14/9/2016 14:55:0] /goto Dead Sakura
[14/9/2016 14:55:0] /goto Dead Sakura
[14/9/2016 14:55:3] /goto Dead Sakura
[14/9/2016 14:55:3] /goto Dead Sakura
[14/9/2016 14:57:20] /b Web Site Oficial > http://ntoabs.wixsite.com/ntoabs <
[14/9/2016 14:57:36] /goto Dead Sakura
[14/9/2016 14:57:38] /goto Dead Sakura
[14/9/2016 14:57:39] /goto Dead Sakura
[14/9/2016 14:57:40] /goto Dead Sakura
[14/9/2016 14:57:41] /goto Dead Sakura
[14/9/2016 14:57:41] /goto Dead Sakura
[14/9/2016 14:57:42] /goto Dead Sakura
[14/9/2016 14:57:43] /goto Dead Sakura
[14/9/2016 14:57:46] /goto Dead Sakura
[14/9/2016 14:57:46] /goto Dead Sakura
[14/9/2016 14:57:47] /goto Dead Sakura
[14/9/2016 14:57:47] /goto Dead Sakura
[14/9/2016 14:57:48] /goto Dead Sakura
[14/9/2016 14:57:48] /goto Dead Sakura
[14/9/2016 14:57:49] /goto Dead Sakura
[14/9/2016 14:57:49] /goto Dead Sakura
[14/9/2016 14:57:58] /goto Dead Sakura
[14/9/2016 14:58:0] /goto Dead Sakura
[14/9/2016 14:58:1] /goto Dead Sakura
[14/9/2016 14:58:1] /goto Dead Sakura
[14/9/2016 14:58:18] /goto Dead Sakura
[14/9/2016 14:58:29] /goto Dead Sakura
[14/9/2016 14:58:30] /goto Dead Sakura
[14/9/2016 14:58:31] /goto Dead Sakura
[14/9/2016 14:58:32] /goto Dead Sakura
[14/9/2016 14:58:33] /goto Dead Sakura
[14/9/2016 14:58:34] /goto Dead Sakura
[14/9/2016 14:58:35] /goto Dead Sakura
[14/9/2016 14:58:35] /goto Dead Sakura
[14/9/2016 14:58:35] /goto Dead Sakura
[14/9/2016 14:58:36] /goto Dead Sakura
[14/9/2016 14:58:36] /goto Dead Sakura
[14/9/2016 14:58:37] /goto Dead Sakura
[14/9/2016 14:58:38] /goto Dead Sakura
[14/9/2016 14:58:38] /goto Dead Sakura
[14/9/2016 14:58:39] /goto Dead Sakura
[14/9/2016 14:58:40] /goto Dead Sakura
